Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
50,65000,Male,HR,Director,05-Apr-18,F,"I feel supported in my position, by paying closer attention to details, while handling routine duties.",6,0,6,0,0,0,0,0,,,,,,,,
,65000,Other,IT,Assistant,1/15/2020,B,"I feel supported in my position, by paying closer attention to details, as part of my regular workflow.",5,0,0,0,0,0,0,0,,,,,,,,
,55000,Male,IT,Clerk,05-Apr-18,D,Texas,5,0,0,0,0,0,0,7,,,,,,,,
, NAN ,Other,Sales,Manager,2/20/2020,D,MA,5,5,0,0,0,6,0,7,,,,,,,,
25,SIXTY THOUSAND,Male,Sales,Manager,05-Apr-18,F,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, as I settled into my responsibilities.",6,6,6,0,6,0,0,0,,,,,,,,
50,55000,Male,IT,Assistant,1/15/2020,D,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, while adapting to daily routines.",0,0,6,0,6,0,0,0,,,,,,,,
25,70000,Female,Marketing,Assistant,2019.12.01,C,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, through regular collaboration.",6,6,6,6,0,0,0,0,,,,,,,,
, NAN ,Other,HR,Clerk,2/20/2020,F,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, while working on assigned tasks.",5,5,0,0,0,0,0,0,,,,,,,,
50,70000,Male,Finance,Clerk,05-Apr-18,A,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, as part of normal operations.",6,6,6,6,0,6,0,0,,,,,,,,
50, NAN ,Other,Sales,Director,Other,B,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, during ongoing work cycles.",0,5,0,0,0,7,0,0,,,,,,,,
40,70000,Other,Finance,Analyst,2019.12.01,B,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, while handling routine duties.",6,6,6,0,0,6,0,0,,,,,,,,
40,55000,Female,Marketing,Clerk,05-Apr-18,B,"I am developing stronger work habits, because I have learned to communicate more clearly with my team, as part of my regular workflow.",0,6,6,6,0,6,0,0,,,,,,,,
thirty, NAN ,Female,Sales,Assistant,05-Apr-18,C,"I am developing stronger work habits, as I became better at organizing my tasks, over the past months.",0,5,6,0,0,0,0,0,,,,,,,,
35, NAN ,Female,Finance,Clerk,2/20/2020,A,"I am developing stronger work habits, as I became better at organizing my tasks, during my time in this role.",0,5,0,0,0,0,0,0,,,,,,,,
40,65000,Female,Marketing,Manager,2/20/2020,F,"I am developing stronger work habits, as I became better at organizing my tasks, as I settled into my responsibilities.",0,6,0,6,0,6,0,0,,,,,,,,
25,65000,Female,HR,Analyst,1/15/2020,F,"I am developing stronger work habits, as I became better at organizing my tasks, while adapting to daily routines.",6,0,6,6,0,6,6,0,,,,,,,,
40,50000,Female,Marketing,Director,2019.12.01,B,"I am developing stronger work habits, as I became better at organizing my tasks, through regular collaboration.",6,0,6,6,0,6,0,0,,,,,,,,
thirty,70000,Female,Sales,Manager,1/15/2020,A,"I am developing stronger work habits, as I became better at organizing my tasks, while working on assigned tasks.",0,0,6,6,0,0,6,0,,,,,,,,
50,65000,Female,IT,Manager,05-Apr-18,A,"I am developing stronger work habits, as I became better at organizing my tasks, as part of normal operations.",0,0,6,0,0,0,0,0,,,,,,,,
