Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
thirty,55000,Female,HR,Director,05-Apr-18,F,"I find my daily tasks engaging, as I became better at organizing my tasks, during ongoing work cycles.",6,6,6,6,0,0,6,0,,,,,,,,
25, NAN ,Male,HR,Manager,2019.12.01,C,"I find my daily tasks engaging, as I became better at organizing my tasks, while handling routine duties.",0,5,0,6,0,0,0,0,,,,,,,,
40,55000,Female,HR,Analyst,05-Apr-18,C,"I find my daily tasks engaging, as I became better at organizing my tasks, as part of my regular workflow.",6,0,6,0,6,0,0,0,,,,,,,,
25,70000,Male,Finance,Director,2019.12.01,C,"I find my daily tasks engaging, after understanding expectations more clearly, over the past months.",0,6,6,0,6,6,6,0,,,,,,,,
50, NAN ,Other,Marketing,Manager,2/20/2020,F,"I find my daily tasks engaging, after understanding expectations more clearly, during my time in this role.",6,5,6,0,0,0,0,0,,,,,,,,
thirty,65000,Female,HR,Clerk,05-Apr-18,D,"I find my daily tasks engaging, after understanding expectations more clearly, as I settled into my responsibilities.",6,6,6,6,0,6,6,0,,,,,,,,
,70000,Male,HR,Assistant,1/15/2020,D,"I find my daily tasks engaging, after understanding expectations more clearly, while adapting to daily routines.",5,0,0,0,0,0,0,0,,,,,,,,
40,50000,Male,IT,Assistant,3/25/2019,A,"I find my daily tasks engaging, after understanding expectations more clearly, through regular collaboration.",6,6,6,0,0,7,0,0,,,,,,,,
thirty,65000,Other,Finance,Clerk,2/20/2020,F,"I find my daily tasks engaging, after understanding expectations more clearly, while working on assigned tasks.",0,0,6,6,0,6,6,0,,,,,,,,
50,SIXTY THOUSAND,Other,HR,Analyst,05-Apr-18,A,"I find my daily tasks engaging, after understanding expectations more clearly, as part of normal operations.",0,6,6,0,6,6,0,0,,,,,,,,
40,50000,Other,IT,Director,2019.12.01,F,"I find my daily tasks engaging, after understanding expectations more clearly, during ongoing work cycles.",6,0,0,0,0,0,0,0,,,,,,,,
35,50000,Female,Sales,Assistant,2019.12.01,A,"I find my daily tasks engaging, after understanding expectations more clearly, while handling routine duties.",6,6,6,6,0,0,0,0,,,,,,,,
25,SIXTY THOUSAND,Male,HR,Clerk,2/20/2020,B,MA,6,6,6,6,0,0,0,7,,,,,,,,
50, NAN ,Other,HR,Clerk,3/25/2019,C,"I find my daily tasks engaging, by improving how I plan my work, over the past months.",0,5,0,6,0,6,0,0,,,,,,,,
35,50000,Female,IT,Analyst,2019.12.01,C,"I find my daily tasks engaging, by improving how I plan my work, during my time in this role.",0,6,6,0,0,0,0,0,,,,,,,,
thirty,65000,Female,Finance,Analyst,1/15/2020,D,"I find my daily tasks engaging, by improving how I plan my work, as I settled into my responsibilities.",6,0,6,0,0,6,6,0,,,,,,,,
,70000,Female,HR,Manager,2/20/2020,B,"I find my daily tasks engaging, by improving how I plan my work, while adapting to daily routines.",5,0,0,0,0,0,0,0,,,,,,,,
40,50000,Other,Sales,Assistant,05-Apr-18,C,"I find my daily tasks engaging, by improving how I plan my work, through regular collaboration.",6,6,6,6,0,6,6,0,,,,,,,,
25,65000,Other,HR,Manager,05-Apr-18,D,"I find my daily tasks engaging, by improving how I plan my work, while working on assigned tasks.",6,6,0,0,6,0,0,0,,,,,,,,
40,55000,Male,Sales,Clerk,1/15/2020,B,"I find my daily tasks engaging, by improving how I plan my work, as part of normal operations.",0,6,0,6,0,0,0,0,,,,,,,,
thirty,65000,Male,Marketing,Director,2019.12.01,C,"I find my daily tasks engaging, by improving how I plan my work, during ongoing work cycles.",6,6,6,6,0,6,6,0,,,,,,,,
40,70000,Other,Marketing,Director,2/20/2020,A,"I find my daily tasks engaging, by improving how I plan my work, while handling routine duties.",0,0,6,6,0,0,0,0,,,,,,,,
25,65000,Female,Sales,Analyst,1/15/2020,F,"I find my daily tasks engaging, by improving how I plan my work, as part of my regular workflow.",0,6,6,6,6,6,0,0,,,,,,,,
thirty,SIXTY THOUSAND,Female,Finance,Director,2019.12.01,B,"I find my daily tasks engaging, through experience working with different people, over the past months.",0,6,6,0,0,6,6,0,,,,,,,,
40,70000,Female,HR,Director,2/20/2020,D,"I find my daily tasks engaging, through experience working with different people, during my time in this role.",0,0,0,0,0,0,0,0,,,,,,,,
, NAN ,Male,HR,Director,05-Apr-18,B,"I find my daily tasks engaging, through experience working with different people, as I settled into my responsibilities.",5,5,0,0,0,0,0,0,,,,,,,,
50,55000,Female,Marketing,Clerk,2/20/2020,D,"I find my daily tasks engaging, through experience working with different people, while adapting to daily routines.",0,0,6,6,0,6,0,0,,,,,,,,
thirty,SIXTY THOUSAND,Male,Sales,Director,3/25/2019,B,"I find my daily tasks engaging, through experience working with different people, through regular collaboration.",0,6,6,6,0,0,0,0,,,,,,,,
50, NAN ,Male,HR,Director,2/20/2020,D,"I find my daily tasks engaging, through experience working with different people, while working on assigned tasks.",0,5,6,6,0,0,0,0,,,,,,,,
