Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated,,
25,55000,Other,Sales,Clerk,20/02/2020,F,"I am developing stronger work habits, after understanding expectations more clearly, while adapting to daily routines.",0,0,0,0,6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,65000,Other,Sales,Assistant,05/04/2018,F,"I am developing stronger work habits, after understanding expectations more clearly, through regular collaboration.",5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,65000,Female,IT,Clerk,25/03/2019,B,"I am developing stronger work habits, after understanding expectations more clearly, while working on assigned tasks.",0,0,0,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,NULL,Other,Marketing,Director,20/02/2020,A,"I am developing stronger work habits, after understanding expectations more clearly, as part of normal operations.",0,5,0,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,60000,Other,Marketing,Clerk,25/03/2019,C,"I am developing stronger work habits, by improving how I plan my work, as part of normal operations.",0,0,6,6,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,Male,IT,Clerk,25/03/2019,C,"I am developing stronger work habits, by improving how I plan my work, during ongoing work cycles.",5,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,70000,Other,Marketing,Director,05/04/2018,C,"I am developing stronger work habits, by improving how I plan my work, while handling routine duties.",5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,65000,Female,Finance,Manager,01/12/2019,B,"I feel more effective in my role, because I have learned to communicate more clearly with my team, while handling routine duties.",0,6,6,0,6,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,NULL,Other,Finance,Analyst,20/02/2020,A,"I feel more effective in my role, because I have learned to communicate more clearly with my team, as part of my regular workflow.",0,5,0,0,0,0,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,55000,Male,Marketing,Manager,05/04/2018,B,"I feel more effective in my role, as I became better at organizing my tasks, over the past months.",6,6,6,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,50000,Other,Finance,Manager,25/03/2019,C,"I feel more effective in my role, through experience working with different people, as I settled into my responsibilities.",5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,70000,Male,Sales,Manager,20/02/2020,B,"I feel more effective in my role, through experience working with different people, while adapting to daily routines.",0,6,6,0,0,0,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,NULL,Male,Finance,Assistant,15/01/2020,B,"I feel more effective in my role, through experience working with different people, through regular collaboration.",0,5,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,65000,Male,Sales,Director,05/04/2018,F,"I feel more effective in my role, through experience working with different people, while working on assigned tasks.",0,6,6,6,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,65000,Female,Marketing,Assistant,20/02/2020,C,"I feel more effective in my role, as I improved my time management, while adapting to daily routines.",0,0,6,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,50000,Other,Finance,Assistant,25/03/2019,A,"I feel more effective in my role, as I improved my time management, through regular collaboration.",5,0,0,0,0,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,70000,Other,Marketing,Assistant,20/02/2020,D,"I feel more effective in my role, as I improved my time management, while working on assigned tasks.",6,0,6,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,NULL,Other,Finance,Assistant,20/02/2020,A,"I feel motivated in my role, because I have learned to communicate more clearly with my team, as part of my regular workflow.",6,5,6,0,0,0,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,70000,Male,Marketing,Analyst,01/12/2019,B,MA,0,6,0,6,6,0,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,70000,Other,Finance,Assistant,25/03/2019,A,"I feel motivated in my role, as I became better at organizing my tasks, during my time in this role.",5,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
