Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
40,70000,Other,Marketing,Director,1/15/2020,B,"I feel motivated in my role, after understanding expectations more clearly, while adapting to daily routines.",0,0,6,6,0,6,0,0,,,,,,,,
40,50000,Other,Finance,Manager,05-Apr-18,A,"I feel motivated in my role, after understanding expectations more clearly, through regular collaboration.",6,6,0,6,0,6,0,0,,,,,,,,
thirty,70000,Male,Sales,Clerk,1/15/2020,B,"I feel motivated in my role, after understanding expectations more clearly, while working on assigned tasks.",0,0,0,0,0,6,0,0,,,,,,,,
35,65000,Other,Marketing,Manager,1/15/2020,D,"MA",6,0,6,6,0,6,0,7,,,,,,,,
thirty,55000,Female,Marketing,Manager,1/15/2020,C,"I feel motivated in my role, as I learned to handle feedback constructively, as I settled into my responsibilities.",0,6,6,6,6,0,6,0,,,,,,,,
35,70000,Female,IT,Director,3/25/2019,A,"I feel motivated in my role, as I learned to handle feedback constructively, while adapting to daily routines.",6,0,6,6,0,6,0,0,,,,,,,,
25, NAN ,Male,HR,Director,3/25/2019,D,"I feel motivated in my role, through practice and repetition, during ongoing work cycles.",0,5,0,0,0,0,0,0,,,,,,,,
25,65000,Male,Finance,Director,05-Apr-18,D,"I feel motivated in my role, through practice and repetition, while handling routine duties.",6,6,6,0,0,6,6,0,,,,,,,,
,70000,Female,Marketing,Manager,2019.12.01,D,"I feel motivated in my role, through practice and repetition, as part of my regular workflow.",5,0,0,0,0,0,0,0,,,,,,,,
40,SIXTY THOUSAND,Other,IT,Clerk,1/15/2020,F,"I feel motivated in my role, by paying closer attention to details, while working on assigned tasks.",0,0,0,6,0,0,0,0,,,,,,,,
40,70000,Other,Marketing,Analyst,3/25/2019,B,"I feel motivated in my role, by paying closer attention to details, as part of normal operations.",6,6,0,0,0,6,0,0,,,,,,,,
40,50000,Other,IT,Director,2019.12.01,F,"I find my daily tasks engaging, after understanding expectations more clearly, during ongoing work cycles.",6,0,0,0,0,0,0,0,,,,,,,,
35,50000,Female,Sales,Assistant,2019.12.01,A,"I find my daily tasks engaging, after understanding expectations more clearly, while handling routine duties.",6,6,6,6,0,0,0,0,,,,,,,,
25,SIXTY THOUSAND,Male,HR,Clerk,2/20/2020,B,"MA",6,6,6,6,0,0,0,7,,,,,,,,
thirty,SIXTY THOUSAND,Male,Sales,Director,3/25/2019,B,"I find my daily tasks engaging, through experience working with different people, through regular collaboration.",0,6,6,6,0,0,0,0,,,,,,,,
50, NAN ,Male,HR,Director,2/20/2020,D,"I find my daily tasks engaging, through experience working with different people, while working on assigned tasks.",0,5,6,6,0,0,0,0,,,,,,,,
50,65000,Male,Finance,Manager,1/15/2020,D,"I find my daily tasks engaging, by becoming more aware of priorities, through regular collaboration.",6,0,0,6,0,0,0,0,,,,,,,,
thirty,70000,Female,HR,Analyst,1/15/2020,A,"I find my daily tasks engaging, by becoming more aware of priorities, while working on assigned tasks.",6,0,6,0,6,
50,SIXTY THOUSAND,Female,Finance,Director,2/20/2020,D,"I am developing stronger work habits, as I improved my time management, over the past months.",0,0,0,0,0,6,6,0,,,,,,,,
